Address  Ordinal Name                                                     Library                                                                     
00598894         _kCFProxyHostNameKey                                     /System/Library/Frameworks/CFNetwork.framework/CFNetwork                    
00598890         _kCFProxyAutoConfigurationURLKey                         /System/Library/Frameworks/CFNetwork.framework/CFNetwork                    
0059888C         _kCFHTTPVersion1_1                                       /System/Library/Frameworks/CFNetwork.framework/CFNetwork                    
00598888         _kCFHTTPVersion1_0                                       /System/Library/Frameworks/CFNetwork.framework/CFNetwork                    
00598884         _kCFHTTPAuthenticationUsername                           /System/Library/Frameworks/CFNetwork.framework/CFNetwork                    
00598880         _kCFHTTPAuthenticationSchemeNTLM                         /System/Library/Frameworks/CFNetwork.framework/CFNetwork                    
0059887C         _kCFHTTPAuthenticationSchemeBasic                        /System/Library/Frameworks/CFNetwork.framework/CFNetwork                    
00598878         _kCFHTTPAuthenticationPassword                           /System/Library/Frameworks/CFNetwork.framework/CFNetwork                    
00598874         _kCFHTTPAuthenticationAccountDomain                      /System/Library/Frameworks/CFNetwork.framework/CFNetwork                    
00598870         _kCFErrorDomainCFNetwork                                 /System/Library/Frameworks/CFNetwork.framework/CFNetwork                    
00598D0C         _kCFCoreFoundationVersionNumber                          /System/Library/Frameworks/CoreFoundation.framework/CoreFoundation          
00598D08         _kCFBundleVersionKey                                     /System/Library/Frameworks/CoreFoundation.framework/CoreFoundation          
00598D04         _kCFBooleanTrue                                          /System/Library/Frameworks/CoreFoundation.framework/CoreFoundation          
00598D00         _kCFBooleanFalse                                         /System/Library/Frameworks/CoreFoundation.framework/CoreFoundation          
00598CFC         _kCFAllocatorDefault                                     /System/Library/Frameworks/CoreFoundation.framework/CoreFoundation          
00598CF8         _kCFAbsoluteTimeIntervalSince1970                        /System/Library/Frameworks/CoreFoundation.framework/CoreFoundation          
00598A00         _kCAMediaTimingFunctionLinear                            /System/Library/Frameworks/QuartzCore.framework/QuartzCore                  
005989FC         _kCAMediaTimingFunctionEaseOut                           /System/Library/Frameworks/QuartzCore.framework/QuartzCore                  
005989F8         _kCAMediaTimingFunctionEaseIn                            /System/Library/Frameworks/QuartzCore.framework/QuartzCore                  
005989F4         _kCAFillModeForwards                                     /System/Library/Frameworks/QuartzCore.framework/QuartzCore                  
00598950         _kAudioSession_AudioRouteKey_Type                        /System/Library/Frameworks/AudioToolbox.framework/AudioToolbox              
0059894C         _kAudioSession_AudioRouteKey_Outputs                     /System/Library/Frameworks/AudioToolbox.framework/AudioToolbox              
